"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
1100000,"Большевиков проспект, 3",Санкт-Петербург,4680,235,Универсальное помещение,https://spb.n1.ru/view/116306158/?open_card_kn
200000,"Шкапина, 15",Санкт-Петербург,2259,88,Универсальное помещение,https://spb.n1.ru/view/116015276/?open_card_kn
667000,"Большевиков проспект, 42 корп. 2",Санкт-Петербург,1684,396,Универсальное помещение,https://spb.n1.ru/view/115986897/?open_card_kn
1500000,"Невский проспект, 137",Санкт-Петербург,3198,469,Универсальное помещение,https://spb.n1.ru/view/115830118/?open_card_kn
125000,"шоссе Колпинское, 127",Санкт-Петербург,2670,46,Универсальное помещение,https://spb.n1.ru/view/115830096/?open_card_kn
164650,"Литейный проспект, 41",Санкт-Петербург,1850,89,Универсальное помещение,https://spb.n1.ru/view/115716865/?open_card_kn
149000,"Ленсовета, 24",Санкт-Петербург,827,180,Универсальное помещение,https://spb.n1.ru/view/115563178/?open_card_kn
59200,"Литейный проспект, 41",Санкт-Петербург,1850,32,Универсальное помещение,https://spb.n1.ru/view/115559123/?open_card_kn
183000,"Манежная площадь, 5",Санкт-Петербург,1000,183,Универсальное помещение,https://spb.n1.ru/view/115510587/?open_card_kn
100000,"Манежная площадь, 5",Санкт-Петербург,1000,100,Универсальное помещение,https://spb.n1.ru/view/115510585/?open_card_kn
140800,"шоссе Колпинское, 127",Санкт-Петербург,2000,70,Универсальное помещение,https://spb.n1.ru/view/115252524/?open_card_kn
3750000,"Выборгское шоссе, 12",Санкт-Петербург,2500,1500,Универсальное помещение,https://spb.n1.ru/view/115249491/?open_card_kn
4425000,"Выборгское шоссе, 12",Санкт-Петербург,2950,1500,Универсальное помещение,https://spb.n1.ru/view/115249487/?open_card_kn
299340,"Юных пионеров, 38",Санкт-Петербург,900,332,Универсальное помещение,https://spb.n1.ru/view/114984844/?open_card_kn
222400,"Юных пионеров, 38",Санкт-Петербург,800,278,Универсальное помещение,https://spb.n1.ru/view/114497084/?open_card_kn
2094000,"Приморский проспект, 50",Санкт-Петербург,1200,1745,Универсальное помещение,https://spb.n1.ru/view/114478925/?open_card_kn
1200000,"Выборгское шоссе, 12",Санкт-Петербург,2500,480,Универсальное помещение,https://spb.n1.ru/view/114386290/?open_card_kn
62500,"Предпортовая, 3",Санкт-Петербург,1250,50,Универсальное помещение,https://spb.n1.ru/view/114317040/?open_card_kn
36600,"Юных пионеров, 38",Санкт-Петербург,600,61,Универсальное помещение,https://spb.n1.ru/view/111821335/?open_card_kn
129500,"Литейный проспект, 41",Санкт-Петербург,1850,70,Универсальное помещение,https://spb.n1.ru/view/109777386/?open_card_kn
286000,"Юных пионеров, 38",Санкт-Петербург,1100,260,Универсальное помещение,https://spb.n1.ru/view/109085211/?open_card_kn
50000,"Литейный проспект, 41",Санкт-Петербург,1250,40,Универсальное помещение,https://spb.n1.ru/view/107314896/?open_card_kn
100000,"Литейный проспект, 41",Санкт-Петербург,1000,100,Универсальное помещение,https://spb.n1.ru/view/77304632/?open_card_kn
1620000,"Саперный переулок, 6",Санкт-Петербург,270,6000,Универсальное помещение,https://spb.n1.ru/view/115286890/?open_card_kn
950000,"Просвещения проспект, 46 корп. 1",Санкт-Петербург,1938,490,Универсальное помещение,https://spb.n1.ru/view/115640787/?open_card_kn
2288500,"Левашовский проспект, 9 корп. 1",Санкт-Петербург,1000,2288,Универсальное помещение,https://spb.n1.ru/view/116330679/?open_card_kn
2080000,"Уральская, 13ю",Санкт-Петербург,800,2600,Универсальное помещение,https://spb.n1.ru/view/116330676/?open_card_kn
470550,"Реки Мойки набережная, 37",Санкт-Петербург,1500,313,Универсальное помещение,https://spb.n1.ru/view/116330675/?open_card_kn
1376452,"Красногвардейский переулок, 23",Санкт-Петербург,1199,1148,Универсальное помещение,https://spb.n1.ru/view/116330655/?open_card_kn
762400,"Академика Павлова, 5",Санкт-Петербург,4000,190,Универсальное помещение,https://spb.n1.ru/view/113133048/?open_card_kn
80000,"Димитрова, 2",Санкт-Петербург,1197,66,Универсальное помещение,https://spb.n1.ru/view/114575872/?open_card_kn
711000,"Савушкина, 119",Санкт-Петербург,1800,395,Универсальное помещение,https://spb.n1.ru/view/113132866/?open_card_kn
1943280,"Реки Фонтанки набережная, 142",Санкт-Петербург,898,2162,Универсальное помещение,https://spb.n1.ru/view/113132842/?open_card_kn
195000,"Витебский проспект, 101 корп. 1",Санкт-Петербург,2215,88,Универсальное помещение,https://spb.n1.ru/view/115285932/?open_card_kn
439600,"Литейный проспект, 48",Санкт-Петербург,2854,154,Универсальное помещение,https://spb.n1.ru/view/115285931/?open_card_kn
550000,"Жуковского, 22",Санкт-Петербург,3235,170,Универсальное помещение,https://spb.n1.ru/view/115285925/?open_card_kn
40000,"Архитектора Белова, 9",Санкт-Петербург,800,50,Универсальное помещение,https://spb.n1.ru/view/115285838/?open_card_kn
280000,"Большеохтинский проспект, 15 корп. 2",Санкт-Петербург,1400,200,Универсальное помещение,https://spb.n1.ru/view/115285831/?open_card_kn
214360,"Галерный проезд, 1 корп. 2",Санкт-Петербург,2300,93,Универсальное помещение,https://spb.n1.ru/view/115996153/?open_card_kn
15000,"Академика Лебедева, 14/2",Санкт-Петербург,600,25,Универсальное помещение,https://spb.n1.ru/view/77790253/?open_card_kn
144000,"Народная, 5",Санкт-Петербург,1800,80,Универсальное помещение,https://spb.n1.ru/view/113128812/?open_card_kn
239760,"Большеохтинский проспект, 15 корп. 2",Санкт-Петербург,1200,199,Универсальное помещение,https://spb.n1.ru/view/77786138/?open_card_kn
100000,"Муринская дорога, 11 корп. 3",Санкт-Петербург,988,101,Универсальное помещение,https://spb.n1.ru/view/116328276/?open_card_kn
49980,"Осипенко, 3а",Санкт-Петербург,1666,30,Универсальное помещение,https://spb.n1.ru/view/116327781/?open_card_kn
20000,,Санкт-Петербург,800,25,Универсальное помещение,https://spb.n1.ru/view/116327780/?open_card_kn
500000,"Невский проспект, 15",Санкт-Петербург,3759,133,Универсальное помещение,https://spb.n1.ru/view/115990503/?open_card_kn
115000,"Измайловский проспект, 3",Санкт-Петербург,1121,102,Универсальное помещение,https://spb.n1.ru/view/114951798/?open_card_kn
700000,"18-я В.О. линия, 9",Санкт-Петербург,8036,87,Универсальное помещение,https://spb.n1.ru/view/115989488/?open_card_kn
195000,"Энгельса проспект, 29",Санкт-Петербург,1961,99,Универсальное помещение,https://spb.n1.ru/view/112336013/?open_card_kn
196750,"Ипподромный переулок, 1 корп. 1",Санкт-Петербург,2500,78,Универсальное помещение,https://spb.n1.ru/view/113516902/?open_card_kn
250000,"Ленсовета, 10",Санкт-Петербург,1388,180,Универсальное помещение,https://spb.n1.ru/view/112335898/?open_card_kn
1600000,"Заневский проспект, 38",Санкт-Петербург,800,2000,Универсальное помещение,https://spb.n1.ru/view/112655895/?open_card_kn
155000,"Комендантский проспект, 51 корп. 1",Санкт-Петербург,1026,151,Универсальное помещение,https://spb.n1.ru/view/108546946/?open_card_kn
171000,"Малая Митрофаньевская, 8 корп. 1",Санкт-Петербург,1819,94,Универсальное помещение,https://spb.n1.ru/view/110826045/?open_card_kn
2000000,"Лермонтовский проспект, 43/1",Санкт-Петербург,924,2163,Универсальное помещение,https://spb.n1.ru/view/114561441/?open_card_kn
85000,"Челюскина, 6",Санкт-Петербург,2125,40,Универсальное помещение,https://spb.n1.ru/view/115630947/?open_card_kn
266800,"Канала Грибоедова набережная, 12",Санкт-Петербург,2300,116,Универсальное помещение,https://spb.n1.ru/view/116326137/?open_card_kn
450000,"Казанская, 40",Санкт-Петербург,2368,190,Универсальное помещение,https://spb.n1.ru/view/114945752/?open_card_kn
250000,"Восстания, 53",Санкт-Петербург,1275,196,Универсальное помещение,https://spb.n1.ru/view/77324288/?open_card_kn
100000,"Ломоносова, 12/66",Санкт-Петербург,1000,100,Универсальное помещение,https://spb.n1.ru/view/77318351/?open_card_kn
112957,"Уральская, 19 корп. 8",Санкт-Петербург,1043,108,Универсальное помещение,https://spb.n1.ru/view/115276324/?open_card_kn
90000,"Гжатская, 22 корп. 2",Санкт-Петербург,2000,45,Универсальное помещение,https://spb.n1.ru/view/77301321/?open_card_kn
110000,"Ветеранов проспект, 194",Санкт-Петербург,1746,63,Универсальное помещение,https://spb.n1.ru/view/77300004/?open_card_kn
