color,full_name,id,name,route_type,subtype,type,point.lat,point.lon,city
#E90101,"Москва, Стрешнево",4504385655418009,Стрешнево,mcc,railway,station,55.813807,37.486937,Москва
#E94282,"Москва, Стрешнево",70030076195137603,Стрешнево,mcd,railway,station,55.815251,37.490062,Москва
#E94282,"Москва, Тушинская",70030076195137452,Тушинская,mcd,railway,station,55.826952,37.44142,Москва
#E94282,"Москва, Щукинская",70030076281454011,Щукинская,mcd,railway,station,55.811208,37.459079,Москва
#3EA332,"Москва, Сокол",4504385606390709,Сокол,metro,metro,station,55.805218,37.515243,Москва
#758190,"Москва, Дмитровская",4504385606386046,Дмитровская,metro,metro,station,55.806712,37.581831,Москва
#758190,"Москва, Тимирязевская",4504385606390697,Тимирязевская,metro,metro,station,55.817802,37.575923,Москва
#78C800,"Москва, Бутырская",4504385655898359,Бутырская,metro,metro,station,55.813335,37.602668,Москва
#00B7A6,"Москва, Петровский парк",70030076157557103,Петровский парк,metro,metro,station,55.791966,37.557136,Москва
#00B7A6,"Москва, Савёловская",70030076171748851,Савёловская,metro,metro,station,55.7923,37.586215,Москва
#78C800,"Москва, Фонвизинская",4504385655898403,Фонвизинская,metro,metro,station,55.822949,37.587662,Москва
#E90101,"Москва, Балтийская",4504385655418020,Балтийская,mcc,railway,station,55.825498,37.495628,Москва
#E94282,"Москва, Красный Балтиец",70030076195137637,Красный Балтиец,mcd,railway,station,55.815465,37.525734,Москва
#ED9F2E,"Москва, Белорусская",70030076195133067,Белорусская,mcd,railway,station,55.77694,37.580262,Москва
#E94282,"Москва, Дмитровская",70030076195137728,Дмитровская,mcd,railway,station,55.807924,37.578338,Москва
#E94282,"Москва, Гражданская",70030076195137672,Гражданская,mcd,railway,station,55.805416,37.553807,Москва
#ED9F2E,"Москва, Савёловская",70030076195132974,Савёловская,mcd,railway,station,55.795138,37.588992,Москва
#3CB183,"Москва, Савёловская",70030076195619535,Савёловская,mcd,railway,station,55.794212,37.590212,Москва
#3CB183,"Москва, Белорусская",70030076677219094,Белорусская,mcd,railway,station,55.776996,37.58083,Москва
#ED9F2E,"Москва, Тимирязевская",70030076195132859,Тимирязевская,mcd,railway,station,55.818886,37.576234,Москва
#EA6A00,"Москва, ВДНХ",4504385606385695,ВДНХ,metro,metro,station,55.821029,37.641507,Москва
#EA6A00,"Москва, Алексеевская",4504385606385701,Алексеевская,metro,metro,station,55.808717,37.638915,Москва
#E15D29,"Москва, Останкино",4504385606390390,Останкино,mcd,railway,station,55.817568,37.603318,Москва
#00B7A6,"Москва, Марьина Роща",70030076432535072,Марьина Роща,metro,metro,station,55.796519,37.615134,Москва
#00B7A6,"Москва, Рижская",70030076442099654,Рижская,metro,metro,station,55.793885,37.634239,Москва
#0064AF,"Москва, Щёлковская",4504385606386391,Щёлковская,metro,metro,station,55.809448,37.798668,Москва
#E90101,"Москва, Бульвар Рокоссовского",4504385606386882,Бульвар Рокоссовского,metro,metro,station,55.814749,37.734168,Москва
#E90101,"Москва, Черкизовская",4504385606386415,Черкизовская,metro,metro,station,55.804076,37.745028,Москва
#E90101,"Москва, Локомотив",4504385655418050,Локомотив,mcc,railway,station,55.804032,37.745952,Москва
#E15D29,"Москва, Митьково",70030076475945369,Митьково,mcd,railway,station,55.78564,37.670748,Москва
#E90101,"Москва, Белокаменная",4504385655882981,Белокаменная,mcc,railway,station,55.829217,37.702596,Москва
#E15D29,"Москва, Электрозаводская",4504385606390294,Электрозаводская,mcd,railway,station,55.781101,37.705615,Москва
#E90101,"Москва, Бульвар Рокоссовского",4504385655418047,Бульвар Рокоссовского,mcc,railway,station,55.816825,37.737848,Москва
#0064AF,"Москва, Митино",4504385606389562,Митино,metro,metro,station,55.845769,37.362258,Москва
#9B007F,"Москва, Сходненская",4504385606390684,Сходненская,metro,metro,station,55.850523,37.439716,Москва
#0064AF,"Москва, Волоколамская",4504385606389170,Волоколамская,metro,metro,station,55.83542,37.382262,Москва
#E94282,"Москва, Трикотажная",70030076195137355,Трикотажная,mcd,railway,station,55.83302,37.399771,Москва
#E94282,"Москва, Волоколамская",70030076195686826,Волоколамская,mcd,railway,station,55.832148,37.382204,Москва
#3EA332,"Москва, Речной вокзал",4504385606387070,Речной вокзал,metro,metro,station,55.854899,37.476292,Москва
#3EA332,"Москва, Водный стадион",4504385606386217,Водный стадион,metro,metro,station,55.839841,37.486898,Москва
#E90101,"Москва, Коптево",4504385655418028,Коптево,mcc,railway,station,55.840069,37.520856,Москва
#EA6A00,"Москва, Ботанический сад",4504385606388335,Ботанический сад,metro,metro,station,55.845281,37.638614,Москва
#758190,"Москва, Петровско-Разумовская",4504385606390698,Петровско-Разумовская,metro,metro,station,55.834939,37.574558,Москва
#758190,"Москва, Владыкино",4504385606388525,Владыкино,metro,metro,station,55.847186,37.589972,Москва
#78C800,"Москва, Верхние Лихоборы",70030076158836795,Верхние Лихоборы,metro,metro,station,55.856555,37.560762,Москва
#E90101,"Москва, Окружная",4504385655593894,Окружная,mcc,railway,station,55.848761,37.572162,Москва
