color,full_name,id,name,route_type,subtype,type,point.lat,point.lon,city
#78C800,"Москва, Дубровка",4504385606385968,Дубровка,metro,metro,station,55.718704,37.675923,Москва
#EA6A00,"Москва, Шаболовская",4504385606387220,Шаболовская,metro,metro,station,55.719843,37.607723,Москва
#78C800,"Москва, Кожуховская",4504385606385974,Кожуховская,metro,metro,station,55.707292,37.684902,Москва
#E90101,"Москва, ЗИЛ",4504385655417928,ЗИЛ,mcc,railway,station,55.698359,37.648593,Москва
#337562,"Москва, ЗИЛ",70030077097013722,ЗИЛ,metro,metro,station,55.697069,37.645501,Москва
#E90101,"Москва, Дубровка",4504385655417925,Дубровка,mcc,railway,station,55.71252,37.677243,Москва
#E90101,"Москва, Автозаводская",4504385655417937,Автозаводская,mcc,railway,station,55.706135,37.662619,Москва
#9B007F,"Москва, Кузьминки",4504385606390678,Кузьминки,metro,metro,station,55.705618,37.76581,Москва
#9B007F,"Москва, Текстильщики",4504385606390679,Текстильщики,metro,metro,station,55.708777,37.731345,Москва
#78C800,"Москва, Печатники",4504385606386109,Печатники,metro,metro,station,55.693012,37.728026,Москва
#00B7A6,"Москва, Текстильщики",70030076442099722,Текстильщики,metro,metro,station,55.707337,37.728464,Москва
#E90101,"Москва, Угрешская",4504385655417922,Угрешская,mcc,railway,station,55.718303,37.696811,Москва
#E90101,"Москва, Новохохловская",4504385655844468,Новохохловская,mcc,railway,station,55.724263,37.717469,Москва
#00B7A6,"Москва, Печатники",70030076442099737,Печатники,metro,metro,station,55.694556,37.727349,Москва
#E94282,"Москва, Текстильщики",70030076195138169,Текстильщики,mcd,railway,station,55.707588,37.729479,Москва
#E94282,"Москва, Печатники",70030076370316012,Печатники,mcd,railway,station,55.692666,37.732356,Москва
#E94282,"Москва, Новохохловская",70030076195138109,Новохохловская,mcd,railway,station,55.724824,37.713138,Москва
#9B007F,"Москва, Выхино",4504385606387377,Выхино,metro,metro,station,55.715718,37.817889,Москва
#9B007F,"Москва, Рязанский проспект",4504385606390677,Рязанский проспект,metro,metro,station,55.716914,37.793284,Москва
#9B007F,"Москва, Лермонтовский проспект",4504385606394113,Лермонтовский проспект,metro,metro,station,55.70148,37.852273,Москва
#E13B8F,"Москва, Окская",70030076202374516,Окская,metro,metro,station,55.71829,37.781795,Москва
#E13B8F,"Москва, Юго-Восточная",70030076202374455,Юго-Восточная,metro,metro,station,55.705029,37.819024,Москва
#E13B8F,"Москва, Косино",70030076180130124,Косино,metro,metro,station,55.703374,37.851182,Москва
#E13B8F,"Москва, Улица Дмитриевского",70030076180130106,Улица Дмитриевского,metro,metro,station,55.710178,37.879928,Москва
#E15D29,"Москва, Выхино",4504385606390306,Выхино,mcd,railway,station,55.716319,37.816677,Москва
#E15D29,"Москва, Вешняки",4504385606390305,Вешняки,mcd,railway,station,55.722206,37.798867,Москва
#E15D29,"Москва, Косино",70030076658784320,Косино,mcd,railway,station,55.705947,37.847186,Москва
#E13B8F,"Москва, Некрасовка",70030076180130008,Некрасовка,metro,metro,station,55.7031,37.927771,Москва
#E13B8F,"Москва, Лухмановская",70030076180130055,Лухмановская,metro,metro,station,55.708504,37.900578,Москва
#0064AF,"Москва, Молодёжная",4504385606390714,Молодёжная,metro,metro,station,55.740821,37.416906,Москва
#00A0D2,"Москва, Кунцевская",4504385606387970,Кунцевская,metro,metro,station,55.730836,37.445958,Москва
#0064AF,"Москва, Кунцевская",4504385606391054,Кунцевская,metro,metro,station,55.730706,37.446016,Москва
#00B7A6,"Москва, Кунцевская",70030076320536770,Кунцевская,metro,metro,station,55.728815,37.445905,Москва
#ED9F2E,"Москва, Сетунь",70030076195133412,Сетунь,mcd,railway,station,55.723799,37.397446,Москва
#ED9F2E,"Москва, Рабочий Посёлок",70030076195133348,Рабочий Посёлок,mcd,railway,station,55.727014,37.417866,Москва
#ED9F2E,"Москва, Кунцевская",70030076195133298,Кунцевская,mcd,railway,station,55.726916,37.449194,Москва
#0064AF,"Москва, Славянский бульвар",4504385606390715,Славянский бульвар,metro,metro,station,55.729611,37.470764,Москва
#00A0D2,"Москва, Фили",4504385606390674,Фили,metro,metro,station,55.746127,37.514847,Москва
#00A0D2,"Москва, Багратионовская",4504385606387573,Багратионовская,metro,metro,station,55.743759,37.497766,Москва
#FFDF05,"Москва, Парк Победы",4504385606394420,Парк Победы,metro,metro,station,55.736614,37.517755,Москва
#00A0D2,"Москва, Кутузовская",4504385606390673,Кутузовская,metro,metro,station,55.740079,37.534346,Москва
#00A0D2,"Москва, Филёвский парк",4504385606390675,Филёвский парк,metro,metro,station,55.739558,37.483374,Москва
#0064AF,"Москва, Парк Победы",4504385606390716,Парк Победы,metro,metro,station,55.736247,37.517533,Москва
#FFDF05,"Москва, Минская",70030076129410576,Минская,metro,metro,station,55.724544,37.496997,Москва
#00B7A6,"Москва, Терехово",70030076320332502,Терехово,metro,metro,station,55.748176,37.459763,Москва
#00A0D2,"Москва, Пионерская",4504385606390676,Пионерская,metro,metro,station,55.736035,37.467111,Москва
#E90101,"Москва, Кутузовская",4504385655413057,Кутузовская,mcc,railway,station,55.740013,37.534057,Москва
#ED9F2E,"Москва, Славянский бульвар",70030076209893549,Славянский бульвар,mcd,railway,station,55.730393,37.472418,Москва
#ED9F2E,"Москва, Фили",70030076195133244,Фили,mcd,railway,station,55.744103,37.514647,Москва
#3CB183,"Москва, Поклонная",4504385606390338,Поклонная,mcd,railway,station,55.732476,37.522137,Москва
#3CB183,"Москва, Кутузовская",70030076611811371,Кутузовская,mcd,railway,station,55.742176,37.532948,Москва
#3CB183,"Москва, Минская",70030076677218583,Минская,mcd,railway,station,55.724021,37.501597,Москва
#3EA332,"Москва, Павелецкая",4504385606385806,Павелецкая,metro,metro,station,55.730496,37.637857,Москва
#0064AF,"Москва, Арбатская",4504385606391042,Арбатская,metro,metro,station,55.752058,37.606967,Москва
#912900,"Москва, Киевская",4504385606388809,Киевская,metro,metro,station,55.745313,37.565535,Москва
#3EA332,"Москва, Новокузнецкая",4504385606385767,Новокузнецкая,metro,metro,station,55.741597,37.629253,Москва
#0064AF,"Москва, Смоленская",4504385606385919,Смоленская,metro,metro,station,55.747498,37.582525,Москва
#E90101,"Москва, Фрунзенская",4504385606390687,Фрунзенская,metro,metro,station,55.727075,37.578883,Москва
#E90101,"Москва, Парк культуры",4504385606385827,Парк культуры,metro,metro,station,55.73557,37.594147,Москва
#912900,"Москва, Октябрьская",4504385606391057,Октябрьская,metro,metro,station,55.729812,37.609465,Москва
#E90101,"Москва, Кропоткинская",4504385606385675,Кропоткинская,metro,metro,station,55.745467,37.603637,Москва
#FFDF05,"Москва, Третьяковская",4504385606391044,Третьяковская,metro,metro,station,55.741452,37.627276,Москва
#912900,"Москва, Добрынинская",4504385606385779,Добрынинская,metro,metro,station,55.729168,37.624254,Москва
#E90101,"Москва, Библиотека им. Ленина",4504385606388241,Библиотека им. Ленина,metro,metro,station,55.751016,37.610183,Москва
#758190,"Москва, Серпуховская",4504385606385830,Серпуховская,metro,metro,station,55.728032,37.624786,Москва
#758190,"Москва, Полянка",4504385606390696,Полянка,metro,metro,station,55.737956,37.617443,Москва
#912900,"Москва, Павелецкая",4504385606391055,Павелецкая,metro,metro,station,55.732262,37.638032,Москва
#0064AF,"Москва, Киевская",4504385606391046,Киевская,metro,metro,station,55.744352,37.565209,Москва
#EA6A00,"Москва, Третьяковская",4504385606385753,Третьяковская,metro,metro,station,55.741081,37.627255,Москва
#758190,"Москва, Боровицкая",4504385606388498,Боровицкая,metro,metro,station,55.750804,37.607197,Москва
#EA6A00,"Москва, Октябрьская",4504385606385818,Октябрьская,metro,metro,station,55.730752,37.611404,Москва
#00A0D2,"Москва, Арбатская",4504385606389140,Арбатская,metro,metro,station,55.751808,37.600827,Москва
#00A0D2,"Москва, Смоленская",4504385606391050,Смоленская,metro,metro,station,55.748808,37.582877,Москва
#912900,"Москва, Парк культуры",4504385606391053,Парк культуры,metro,metro,station,55.735811,37.591289,Москва
#00A0D2,"Москва, Студенческая",4504385606389293,Студенческая,metro,metro,station,55.738855,37.548449,Москва
#00A0D2,"Москва, Киевская",4504385606391047,Киевская,metro,metro,station,55.743713,37.565587,Москва
#912900,"Москва, Таганская",4504385606391048,Таганская,metro,metro,station,55.741767,37.651468,Москва
#9B007F,"Москва, Волгоградский проспект",4504385606386011,Волгоградский проспект,metro,metro,station,55.725273,37.6868,Москва
#9B007F,"Москва, Пролетарская",4504385606385870,Пролетарская,metro,metro,station,55.731859,37.665835,Москва
#E13B8F,"Москва, Нижегородская",70030076202374723,Нижегородская,metro,metro,station,55.731849,37.729959,Москва
#78C800,"Москва, Римская",4504385606385890,Римская,metro,metro,station,55.746437,37.683237,Москва
#9B007F,"Москва, Таганская",4504385606385866,Таганская,metro,metro,station,55.740379,37.652131,Москва
#FFDF05,"Москва, Площадь Ильича",4504385606385884,Площадь Ильича,metro,metro,station,55.747141,37.682463,Москва
#FFDF05,"Москва, Марксистская",4504385606390708,Марксистская,metro,metro,station,55.741378,37.653652,Москва
#00B7A6,"Москва, Нижегородская",70030076442572039,Нижегородская,metro,metro,station,55.731737,37.729857,Москва
#78C800,"Москва, Крестьянская Застава",4504385606388949,Крестьянская Застава,metro,metro,station,55.732991,37.667087,Москва
#3CB183,"Москва, Серп и Молот",4504385606390478,Серп и Молот,mcd,railway,station,55.748235,37.682399,Москва
#E94282,"Москва, Калитники",70030076195138028,Калитники,mcd,railway,station,55.733766,37.702506,Москва
#E90101,"Москва, Нижегородская",4504385655593358,Нижегородская,mcc,railway,station,55.732274,37.728069,Москва
#3CB183,"Москва, Нижегородская",70030076541331700,Нижегородская,mcd,railway,station,55.733374,37.729426,Москва
#E94282,"Москва, Москва-Товарная",70030076195138000,Москва-Товарная,mcd,railway,station,55.745139,37.689643,Москва
#FFDF05,"Москва, Перово",4504385606390706,Перово,metro,metro,station,55.75118,37.786452,Москва
#E13B8F,"Москва, Стахановская",70030076202374561,Стахановская,metro,metro,station,55.727147,37.752564,Москва
#E15D29,"Москва, Перово",4504385606390301,Перово,mcd,railway,station,55.735808,37.764268,Москва
#3CB183,"Москва, Новогиреево",70030076677224715,Новогиреево,mcd,railway,station,55.744438,37.819136,Москва
#3CB183,"Москва, Чухлинка",4504385606390422,Чухлинка,mcd,railway,station,55.73322,37.762478,Москва
#3CB183,"Москва, Кусково",4504385606390424,Кусково,mcd,railway,station,55.739678,37.79558,Москва
#E15D29,"Москва, Плющево",4504385606390303,Плющево,mcd,railway,station,55.730429,37.774869,Москва
#E15D29,"Москва, Андроновка",70030076541332680,Андроновка,mcd,railway,station,55.744872,37.740168,Москва
#FFDF05,"Москва, Новокосино",4504385606392077,Новокосино,metro,metro,station,55.745125,37.863993,Москва
#0064AF,"Москва, Крылатское",4504385606390713,Крылатское,metro,metro,station,55.756561,37.408243,Москва
#00B7A6,"Москва, Мнёвники",70030076251722795,Мнёвники,metro,metro,station,55.761054,37.471296,Москва
#00A0D2,"Москва, Москва-Сити",4504385606389291,Москва-Сити,metro,metro,station,55.748245,37.533875,Москва
#9B007F,"Москва, Улица 1905 года",4504385606390680,Улица 1905 года,metro,metro,station,55.764774,37.561459,Москва
#9B007F,"Москва, Беговая",4504385606386376,Беговая,metro,metro,station,55.77371,37.546732,Москва
#9B007F,"Москва, Баррикадная",4504385606386956,Баррикадная,metro,metro,station,55.761139,37.579528,Москва
#9B007F,"Москва, Полежаевская",4504385606386273,Полежаевская,metro,metro,station,55.777435,37.519288,Москва
#00A0D2,"Москва, Деловой центр",4504385606389290,Деловой центр,metro,metro,station,55.750037,37.54131,Москва
#912900,"Москва, Краснопресненская",4504385606390701,Краснопресненская,metro,metro,station,55.761145,37.577301,Москва
#00B7A6,"Москва, Хорошёвская",70030076157557061,Хорошёвская,metro,metro,station,55.776737,37.51935,Москва
#E90101,"Москва, Шелепиха",4504385655867593,Шелепиха,mcc,railway,station,55.757465,37.525597,Москва
#00A0D2,"Москва, Александровский сад",4504385606385667,Александровский сад,metro,metro,station,55.752639,37.608499,Москва
#E90101,"Москва, Хорошёво",4504385655593526,Хорошёво,mcc,railway,station,55.77698,37.50753,Москва
#FFDF05,"Москва, Деловой центр",4504385606394419,Деловой центр,metro,metro,station,55.749063,37.539089,Москва
#ED9F2E,"Москва, Тестовская (Москва-Сити)",70030076195133194,Тестовская (Москва-Сити),mcd,railway,station,55.758037,37.533352,Москва
#E90101,"Москва, Москва-Сити",4504385655593550,Москва-Сити,mcc,railway,station,55.747687,37.531978,Москва
#ED9F2E,"Москва, Беговая",70030076195133152,Беговая,mcd,railway,station,55.77109,37.539329,Москва
#EA6A00,"Москва, Китай-город",4504385606385733,Китай-город,metro,metro,station,55.755706,37.633637,Москва
#E90101,"Москва, Охотный Ряд",4504385606385704,Охотный Ряд,metro,metro,station,55.757626,37.616526,Москва
#3EA332,"Москва, Маяковская",4504385606388296,Маяковская,metro,metro,station,55.770155,37.595076,Москва
#E90101,"Москва, Чистые пруды",4504385606385678,Чистые пруды,metro,metro,station,55.765646,37.638842,Москва
#912900,"Москва, Курская",4504385606385931,Курская,metro,metro,station,55.757236,37.659421,Москва
#912900,"Москва, Комсомольская",4504385606388248,Комсомольская,metro,metro,station,55.774603,37.654322,Москва
#E90101,"Москва, Лубянка",4504385606388242,Лубянка,metro,metro,station,55.759697,37.627236,Москва
#3EA332,"Москва, Тверская",4504385606388295,Тверская,metro,metro,station,55.764988,37.606729,Москва
#9B007F,"Москва, Пушкинская",4504385606388578,Пушкинская,metro,metro,station,55.765611,37.607493,Москва
#758190,"Москва, Цветной бульвар",4504385606385980,Цветной бульвар,metro,metro,station,55.770887,37.617902,Москва
#3EA332,"Москва, Театральная",4504385606388294,Театральная,metro,metro,station,55.757478,37.6191,Москва
